 ,X,Y
830,1721.667,473.333
831,1732.333,458.667
832,1748.333,445.333
833,1759.000,477.333
834,1763.000,500.000
835,1748.333,518.667
836,1767.000,521.333
837,1348.333,516.000
838,1429.667,642.667
839,1428.333,660.000
840,1419.000,682.667
841,1435.000,689.333
842,1456.333,698.667
843,1472.333,689.333
844,1453.667,673.333
845,1445.667,656.000
846,1448.333,637.333
847,1464.333,650.667
848,1489.667,654.667
849,1471.000,668.000
850,1489.667,696.000
851,1505.667,682.667
852,1507.000,666.667
853,1524.333,636.000
854,1527.000,653.333
855,1545.667,644.000
856,1541.667,628.000
857,1497.667,621.333
858,1477.667,634.667
859,1531.000,609.333
860,1531.000,586.667
861,1556.333,582.667
862,1567.000,597.333
863,1553.667,612.000
864,1576.333,581.333
865,1592.333,566.667
866,1607.000,534.667
867,1629.667,536.000
868,1609.667,553.333
869,1612.333,573.333
870,1628.333,558.667
871,1595.000,584.000
872,1589.667,602.667
873,1579.000,616.000
874,949.667,853.333
875,936.333,872.000
876,927.000,890.667
877,909.667,872.000
878,900.333,890.667
879,880.333,908.000
880,856.333,912.000
881,869.667,930.667
882,831.000,912.000
883,843.000,929.333
884,813.667,924.000
885,800.333,942.667
886,828.333,942.667
887,840.333,961.333
888,859.000,957.333
889,855.000,941.333
890,877.667,966.667
891,888.333,948.000
892,896.333,925.333
893,913.667,908.000
894,933.667,914.667
895,949.667,898.667
896,956.333,880.000
897,968.333,862.667
898,985.667,849.333
899,1016.333,841.333
900,1028.333,825.333
901,1043.000,813.333
902,1061.667,824.000
903,1044.333,836.000
904,1037.667,854.667
905,1075.000,809.333
906,1093.667,820.000
907,1112.333,834.667
908,1093.667,850.667
909,1060.333,845.333
910,1061.667,866.667
911,1044.333,877.333
912,1021.667,870.667
913,1000.333,876.000
914,985.667,870.667
915,1005.667,856.000
916,976.333,882.667
917,996.333,900.000
918,967.000,916.000
919,951.000,929.333
920,935.000,942.667
921,912.333,942.667
922,925.667,961.333
923,904.333,966.667
924,875.000,990.667
925,896.333,985.333
926,917.667,984.000
927,940.333,977.333
928,951.000,954.667
929,968.333,940.000
930,983.000,928.000
931,1008.333,922.667
932,1028.333,922.667
933,1012.333,889.333
934,1028.333,901.333
935,1047.000,920.000
936,1052.333,898.667
937,1072.333,886.667
938,1085.667,869.333
939,1108.333,866.667
940,1129.667,868.000
941,1147.000,865.333
942,1169.667,857.333
943,1149.667,842.667
944,1140.333,824.000
945,1179.000,834.667
946,1189.667,856.000
947,1203.000,873.333
948,1184.333,876.000
949,1163.000,877.333
950,1144.333,890.667
951,1124.333,892.000
952,1097.667,892.000
953,1088.333,908.000
954,972.333,506.667
955,941.667,432.000
956,628.333,873.333
957,629.667,898.667
958,644.333,900.000
959,663.000,893.333
960,684.333,900.000
961,705.667,897.333
962,707.000,878.667
963,697.667,860.000
964,727.000,908.000
965,747.000,918.667
966,768.333,926.667
967,781.667,942.667
968,791.000,962.667
969,815.000,961.333
970,807.000,980.000
971,620.333,920.000
972,648.333,925.333
973,673.667,916.000
974,693.667,940.000
975,701.667,918.667
976,719.000,934.667
977,755.000,946.667
978,768.333,965.333
979,787.000,984.000
980,596.333,948.000
981,619.000,938.667
982,632.333,952.000
983,619.000,965.333
984,651.000,961.333
985,633.667,977.333
986,624.333,993.333
987,664.333,950.667
988,675.000,970.667
989,659.000,976.000
990,648.333,993.333
991,649.667,1020.000
992,667.000,992.000
993,672.333,1006.667
994,688.333,986.667
995,701.667,996.000
996,696.333,1013.333
997,723.000,1000.000
998,713.667,978.667
999,695.000,962.667
1000,719.000,957.333
1001,737.667,962.667
1002,753.667,976.000
1003,743.000,996.000
1004,765.667,989.333
1005,779.000,1005.333
1006,492.333,794.667
1007,488.333,816.000
1008,512.333,806.667
1009,536.333,810.667
1010,561.667,810.667
1011,581.667,809.333
1012,473.667,845.333
1013,493.667,837.333
1014,512.333,826.667
1015,532.333,830.667
1016,552.333,833.333
1017,576.333,829.333
1018,595.000,846.667
1019,604.333,862.667
1020,565.667,856.000
1021,589.667,877.333
1022,536.333,854.667
1023,512.333,856.000
1024,488.333,864.000
1025,464.333,864.000
1026,459.000,889.333
1027,477.667,884.000
1028,500.333,881.333
1029,520.333,874.667
1030,548.333,872.000
1031,569.667,878.667
1032,536.333,893.333
1033,556.333,890.667
1034,555.000,910.667
1035,571.000,901.333
1036,540.333,928.000
1037,524.333,909.333
1038,517.667,894.667
1039,501.667,908.000
1040,487.000,932.000
1041,515.000,925.333
1042,523.000,945.333
1043,488.333,954.667
1044,513.667,968.000
1045,535.000,964.000
1046,551.000,949.333
1047,561.667,928.000
1048,573.667,952.000
1049,465.667,913.333
1050,441.667,906.667
1051,437.667,928.000
1052,440.333,950.667
1053,463.000,937.333
1054,455.000,969.333
1055,477.667,973.333
1056,496.333,985.333
1057,584.333,976.000
1058,560.333,986.667
1059,556.333,1008.000
1060,491.000,1013.333
1061,517.667,1025.333
1062,543.000,1024.000
1063,528.333,1044.000
1064,456.333,1001.333
1065,441.667,985.333
1066,435.000,1012.000
1067,415.000,1009.333
1068,401.667,994.667
1069,415.000,984.000
1070,561.667,1041.333
1071,552.333,1061.333
1072,581.667,1022.667
1073,595.000,1009.333
1074,601.667,1028.000
1075,585.667,1040.000
1076,580.333,998.667
1077,461.667,1040.000
1078,503.000,1054.667
1079,516.333,1081.333
1080,533.667,1069.333
1081,449.667,1058.667
1082,429.667,1060.000
1083,407.000,1052.000
1084,420.333,1030.667
1085,416.333,1077.333
1086,441.667,1085.333
1087,463.000,1093.333
1088,483.000,1092.000
1089,481.667,1070.667
1090,497.667,1105.333
1091,532.333,1096.000
1092,553.667,1092.000
1093,569.667,1104.000
1094,589.667,1101.333
1095,603.000,1084.000
1096,620.333,1064.000
1097,615.000,1042.667
1098,631.000,1032.000
1099,648.333,1045.333
1100,673.667,1044.000
1101,695.000,1040.000
1102,713.667,1028.000
1103,735.000,1020.000
1104,761.667,1013.333
1105,763.000,1038.667
1106,791.000,1021.333
1107,803.000,1004.000
1108,815.000,993.333
1109,833.667,998.667
1110,816.333,1014.667
1111,860.333,1009.333
1112,860.333,1029.333
1113,839.000,1024.000
1114,820.333,1034.667
1115,788.333,1041.333
1116,821.667,1056.000
1117,799.000,1064.000
1118,777.667,1068.000
1119,753.667,1057.333
1120,759.000,1080.000
1121,733.667,1054.667
1122,713.667,1050.667
1123,704.333,1069.333
1124,687.000,1077.333
1125,669.667,1090.667
1126,672.333,1062.667
1127,688.333,1058.667
1128,652.333,1069.333
1129,636.333,1058.667
1130,628.333,1082.667
1131,623.000,1098.667
1132,605.667,1109.333
1133,649.667,1094.667
1134,640.333,1116.000
1135,665.667,1109.333
1136,691.000,1109.333
1137,721.667,1069.333
1138,733.667,1085.333
1139,747.000,1102.667
1140,780.333,1093.333
1141,797.667,1088.000
1142,809.667,1077.333
1143,824.333,1081.333
1144,841.667,1069.333
1145,869.667,1049.333
1146,892.333,1044.000
1147,880.333,1026.667
1148,900.333,1021.333
1149,909.667,1002.667
1150,932.333,1005.333
1151,953.667,993.333
1152,951.000,1010.667
1153,972.333,1009.333
1154,969.667,989.333
1155,964.333,972.000
1156,987.000,969.333
1157,1007.000,980.000
1158,991.000,1001.333
1159,988.333,948.000
1160,1009.667,956.000
1161,1029.667,956.000
1162,1039.000,938.667
1163,1060.333,937.333
1164,1053.667,956.000
1165,1028.333,976.000
1166,1051.000,976.000
1167,1073.667,976.000
1168,1040.333,992.000
1169,1031.000,1006.667
1170,1009.667,1012.000
1171,1076.333,953.333
1172,1084.333,932.000
1173,1103.000,922.667
1174,1120.333,910.667
1175,1136.333,928.000
1176,1115.000,938.667
1177,1096.333,950.667
1178,1165.667,900.000
1179,1172.333,920.000
1180,1155.000,934.667
1181,1140.333,950.667
1182,1121.667,961.333
1183,1099.000,968.000
1184,1092.333,985.333
1185,1075.000,998.667
1186,1065.667,1016.000
1187,1088.333,1016.000
1188,1108.333,1002.667
1189,1128.333,1008.000
1190,1116.333,984.000
1191,1136.333,976.000
1192,1169.667,952.000
1193,1189.667,932.000
1194,1187.000,912.000
1195,1208.333,901.333
1196,1231.000,904.000
1197,1216.333,884.000
1198,1233.667,862.667
1199,1243.000,842.667
1200,1265.667,830.667
1201,1285.667,825.333
1202,1305.667,813.333
1203,1324.333,829.333
1204,1307.000,786.667
1205,1325.667,800.000
1206,1320.333,774.667
1207,1340.333,778.667
1208,1363.000,736.000
1209,1383.000,730.667
1210,1409.667,722.667
1211,1431.000,722.667
1212,1360.333,768.000
1213,1375.000,752.000
1214,1397.667,750.667
1215,1417.667,741.333
1216,1377.667,774.667
1217,1393.667,781.333
1218,1413.667,765.333
1219,1427.000,760.000
1220,1440.333,740.000
1221,1461.667,738.667
1222,1484.333,734.667
1223,1500.333,729.333
1224,1503.000,713.333
1225,1517.667,698.667
1226,1553.667,673.333
1227,1552.333,690.667
1228,1537.667,702.667
1229,1569.667,665.333
1230,1555.000,656.000
1231,1576.333,646.667
1232,1587.000,632.000
1233,1607.000,637.333
1234,1601.667,616.000
1235,1621.667,612.000
1236,1615.000,592.000
1237,1632.333,596.000
1238,1639.000,606.667
1239,1640.333,580.000
1240,1663.000,574.667
1241,1660.333,598.667
1242,1652.333,552.000
1243,1673.667,550.667
1244,1703.000,562.667
1245,1696.333,588.000
1246,1695.000,534.667
1247,1669.667,528.000
1248,1644.333,537.333
1249,1673.667,506.667
1250,1692.333,516.000
1251,1731.000,542.667
1252,1712.333,536.000
1253,1752.333,536.000
1254,1745.667,554.667
1255,1733.667,580.000
1256,1757.667,572.000
1257,1768.333,553.333
1258,1780.333,537.333
1259,1784.333,508.000
1260,1785.667,484.000
1261,1808.333,492.000
1262,1804.333,509.333
1263,1827.000,502.667
1264,1823.000,525.333
1265,1804.333,528.000
1266,1809.667,541.333
1267,1796.333,557.333
1268,1785.667,577.333
1269,1765.667,596.000
1270,1721.667,601.333
1271,1701.667,609.333
1272,1680.333,606.667
1273,1660.333,618.667
1274,1643.000,629.333
1275,1629.667,629.333
1276,1625.667,649.333
1277,1619.000,670.667
1278,1607.000,653.333
1279,1592.333,668.000
1280,1581.667,682.667
1281,1599.000,690.667
1282,1621.667,696.000
1283,1637.667,686.667
1284,1647.000,672.000
1285,1660.333,657.333
1286,1645.667,645.333
1287,1668.333,637.333
1288,1684.333,650.667
1289,1701.667,642.667
